,word,logDate,frequencySum,wordVar,frequencyGap,frequencyGap2,frequencyLevel,repeatLetters,location,norm_u,norm_sig
0,manly,1.0,0.3559169826381958,0.3224367961855809,0.5779587765957447,0.4437695738825093,0.6666666666666666,0.0,0.8529307880838943,4.383838383838384,1.0318862859896674
1,molar,0.9982471660678348,0.5339752544402316,0.262102331797359,0.5779587765957447,0.4219417291449178,1.0,0.0,0.5302677819055238,4.181818181818182,1.02851895445316
2,havoc,0.9964911936667922,0.2833266813011377,0.5768043340432455,0.7910571808510638,0.6965929581474805,0.5,0.0,0.4040611132346919,4.4,1.0198039027185568
3,impel,0.9947320715377826,0.4270105767311915,0.4458913369108511,0.6899933510638299,0.5496820726962134,0.8333333333333334,0.0,0.1361628158660023,4.191919191919192,1.0017839408660554
4,condo,0.9929697883610188,0.353272799840351,0.149798172536951,0.3118351063829787,0.3571225206415488,0.3333333333333333,0.4444444444444444,0.6067436661671868,4.45,1.0805091392487156
5,judge,0.9912043327555825,0.2161744162841749,0.6983334141392267,0.9700797872340425,0.6269336623327325,0.0,0.0,0.7882705078306542,5.232323232323233,1.2295049741174093
6,extra,0.9894356932789804,0.5569247655158652,0.7788682924564148,0.9705784574468085,0.8004175761601973,0.6666666666666666,0.0,0.0756458089593877,4.18,1.107971118757163
7,poise,0.9876638584266998,0.7140790261424868,0.4851634730128902,0.6830119680851064,0.6562588972193221,0.8333333333333334,0.0,0.574475867480471,3.6831683168316833,1.1512429191088025
8,aorta,0.9858888166317603,0.7303432448613054,0.1680138778380017,0.3587101063829787,0.3692701907563822,1.0,0.4444444444444444,0.4354017131553334,4.089108910891089,1.1781762202489914
9,excel,0.9841105562642621,0.4880762322889645,0.9879247066202865,0.9705784574468085,0.9847205086836863,0.3333333333333333,0.4444444444444444,0.2126054950109749,4.555555555555555,0.9971902164189442
10,lunar,0.9823290656309231,0.4865296348034325,0.2254602257768399,0.489029255319149,0.3842649710543798,0.3333333333333333,0.0,0.46251110906126,3.826530612244898,0.9150165628486625
11,third,0.9805443329746265,0.3090700458990222,0.1113761806532563,0.3096742021276596,0.2913542754104584,0.0,0.0,0.4849322813725322,3.4356435643564356,0.8946025345011104
12,slate,0.978756346473947,0.8357613250848137,0.3618337975688827,0.4709109042553192,0.5718895321248929,0.5,0.0,0.357255430529626,3.4646464646464645,1.2578089922048339
13,taper,0.9769650942426842,0.6432847734983036,0.4460051894144981,0.6828457446808511,0.6361393185916298,1.0,0.0,0.465882279541964,4.07,1.2268251709188231
14,chord,0.975170564329391,0.2797345839153861,0.1853458418787376,0.3563829787234044,0.3963177374964412,0.3333333333333333,0.0,0.583274763859321,3.66,0.8968834929911464
15,probe,0.9733727447168902,0.4827379764518062,0.509103637500581,0.7480053191489361,0.6473379519787413,1.0,0.0,0.4246880950260905,4.19,1.1806354221350466
16,rival,0.9715716233217958,0.4360906006785073,0.4444573913212979,0.7910571808510638,0.5169403055898261,0.3333333333333333,0.0,0.3803399259708104,4.0,1.0862780491200215
17,usual,0.969767187994024,0.5895529834364399,0.4792457128852167,0.6012300531914895,0.6639460947138655,0.1666666666666667,0.4444444444444444,0.04855040407022832,4.24,1.0111379727811631
18,spoke,0.967959426516301,0.6016763121133507,0.7440788162269738,0.7684507978723405,0.8700768719749452,0.6666666666666666,0.0,0.3482168405042826,3.8585858585858586,0.9641042423426268
19,apply,0.9661483266036659,0.3115146677309917,0.3596821466548127,0.570811170212766,0.4449084179557749,0.0,0.4444444444444444,0.4381073019293097,4.00990099009901,1.0292268510824614
20,naive,0.9643338759029749,0.5401616443823589,0.7110696479964908,0.903091755319149,0.7944386447755528,1.0,0.0,0.4036798613915746,4.08,1.1720068259186889
21,knock,0.9625160619923877,0.15964877270006,0.1845965632808541,0.3986037234042553,0.3556040618771946,0.3333333333333333,0.4444444444444444,0.2373519213970773,4.22,0.9651942809610924
22,braid,0.9606948723808633,0.4368389543005387,0.3423752748616091,0.6359707446808509,0.5155167504982441,0.8333333333333334,0.0,0.6249695082480253,3.63265306122449,0.951773372764165
23,infer,0.9588702945076442,0.4698164039113951,0.496864605100356,0.8331117021276595,0.5807155736927022,0.5,0.0,0.1501772446206423,4.387755102040816,1.1305827742420034
24,joust,0.9570423157417336,0.3976751147475554,0.681883006185344,0.9702460106382979,0.727531555471197,1.0,0.0,0.735128103325265,4.02,1.1133732527773423
25,amber,0.9552109233813744,0.5579225703452404,0.6375936000738982,0.7480053191489361,0.7985195027047549,0.8333333333333334,0.0,0.2176585940533453,4.23,1.1819898476721364
26,woken,0.9533761046535175,0.3676411893833568,0.646730753914021,0.8457446808510638,0.7519217993736353,1.0,0.0,0.6369921363394608,4.8,1.0862780491200217
27,adore,0.9515378467132862,0.721961684294552,0.3320395285463424,0.6107047872340425,0.5131441586789407,0.3333333333333333,0.0,0.1183552980147981,3.5643564356435644,1.1891909354155135
28,torso,0.9496961366434414,0.6866892835761329,0.1859887919225063,0.4709109042553192,0.286229477080763,0.3333333333333333,0.4444444444444444,0.3724533947591084,3.888888888888889,1.0039204854915922
29,chafe,0.9478509614538304,0.4152863699860308,0.8337557774403311,0.8331117021276595,0.8677042801556423,0.8333333333333334,0.0,0.5257331692523742,4.01010101010101,1.1325750537704873
30,eject,0.9460023080808428,0.4844342446617445,0.989450206011573,0.9700797872340425,0.9844357976653697,0.5,0.4444444444444444,0.02502615028945278,4.55,0.9937303457175897
31,study,0.9441501633868528,0.3875972859708641,0.4310721981932463,0.6738696808510639,0.4553478219607098,0.0,0.0,0.5152376605507182,4.03,1.144159079848602
32,undue,0.9422945141596589,0.3922370784274595,0.4066633760768573,0.6107047872340425,0.3812280535256715,0.6666666666666666,0.4444444444444444,0.09024660458856137,4.356435643564357,1.0770711883938546
33,tepid,0.9404353471119201,0.4470165635601674,0.406191403440692,0.6828457446808511,0.5044130207839044,0.8333333333333334,0.0,0.417223414938347,3.606060606060606,0.9408590725006075
34,happy,0.938572648880583,0.2310915984833365,0.3965082790449126,0.6140292553191489,0.3464933092910695,0.0,0.4444444444444444,0.6961950455114123,3.9393939393939394,1.0231480615838868
35,clean,0.9367064060263062,0.2942027539413291,0.4677764606037744,0.6815159574468085,0.4195691373256146,1.0,0.0,0.3593893363954818,3.45,1.0331989159885915
36,itchy,0.9348366050328805,0.1838954300538816,0.09060616898058119,0.2433510638297872,0.249976274081807,1.0,0.0,0.3059072696561539,3.87,1.0262066068779716
37,feast,0.9329632323066387,0.7232089403312714,0.7437774857729376,0.8332779255319149,0.7859922178988328,0.8333333333333334,0.0,0.44550338299839,3.792079207920792,1.3881880182180384
38,drive,0.9310862741758628,0.4239173817601278,0.597215840694895,0.903091755319149,0.6680269526430674,0.0,0.0,0.4150176447797154,3.74,1.1542963224406464
39,prime,0.9292057168901873,0.4662243065256438,0.4521467187540834,0.6899933510638299,0.5875486381322959,0.6666666666666666,0.0,0.4962851518077503,3.93,1.18536914081648
40,axiom,0.9273215466199944,0.3602574336459788,0.6002721161747467,0.8585438829787234,0.7145297523014144,0.8333333333333334,0.0,0.1623231499335517,4.33,1.1580587204455568
41,brave,0.925433749455802,0.4939632807822792,0.8460108261687683,0.903091755319149,0.920186011198633,0.6666666666666666,0.0,0.5491917112281798,4.455445544554456,1.308954328902814
42,avert,0.9235423114076495,0.5771802035521854,0.6874383006650934,0.903091755319149,0.7618866850147098,0.3333333333333333,0.0,0.08028432748428142,4.03,1.0995908329919815
43,glyph,0.9216472184044749,0.08177010576731167,0.05293227619773112,0.1983045212765957,0.1338141786087121,1.0,0.0,0.3351877354479519,4.06,0.8924124606929242
44,there,0.9197484562934859,0.663939333466374,0.565392116651512,0.726063829787234,0.7247793489608048,1.0,0.4444444444444444,0.3194075613762022,3.59,1.020735029280371
45,baker,0.9178460108395278,0.5344242666134505,0.7046798159065848,0.7682845744680851,0.8432191325804307,0.5,0.0,0.6688115021732137,4.72,1.364404632064843
46,snarl,0.915939867724441,0.6936739173817601,0.3223746553152698,0.5279255319148937,0.540476416437316,0.8333333333333334,0.0,0.1767676714680596,4.35,1.2196310917650468
47,maple,0.9140300125464155,0.5382658152065459,0.5971738754318276,0.6899933510638299,0.7613172629780772,0.1666666666666667,0.0,0.4981573610335853,3.98989898989899,1.1054954508351273
48,inane,0.9121164308193392,0.6528138096188387,0.3727458958003758,0.5277593085106383,0.580146151656069,1.0,0.4444444444444444,0.1704737692066294,4.15,1.2439855304624732
49,valet,0.9101991079721363,0.5379664737577331,0.70288645894565,0.903091755319149,0.7618866850147098,0.6666666666666666,0.0,0.6166239286738129,4.161616161616162,1.0318862859896674
50,medal,0.908278029348102,0.5599181800039915,0.5483923362241976,0.6899933510638299,0.7201290689949702,0.1666666666666667,0.0,0.3083752743031873,4.07,1.0416813332300816
