,word,logDate,frequencySum,wordVar,frequencyGap,frequencyGap2,frequencyLevel,repeatLetters,location,difficultyLevel
0,manly,1.0,0.3559169826381958,0.3224367961855809,0.5779587765957447,0.4437695738825093,0.6666666666666666,0.0,0.8529307880838943,1
1,molar,0.9982471660678348,0.5339752544402316,0.262102331797359,0.5779587765957447,0.4219417291449178,1.0,0.0,0.5302677819055238,2
2,havoc,0.9964911936667922,0.2833266813011377,0.5768043340432455,0.7910571808510638,0.6965929581474805,0.5,0.0,0.4040611132346919,1
3,impel,0.9947320715377826,0.4270105767311915,0.4458913369108511,0.6899933510638299,0.5496820726962134,0.8333333333333334,0.0,0.1361628158660023,2
4,condo,0.9929697883610188,0.353272799840351,0.149798172536951,0.3118351063829787,0.3571225206415488,0.3333333333333333,0.4444444444444444,0.6067436661671868,1
5,judge,0.9912043327555825,0.2161744162841749,0.6983334141392267,0.9700797872340425,0.6269336623327325,0.0,0.0,0.7882705078306542,3
6,extra,0.9894356932789804,0.5569247655158652,0.7788682924564148,0.9705784574468085,0.8004175761601973,0.6666666666666666,0.0,0.0756458089593877,2
7,poise,0.9876638584266998,0.7140790261424868,0.4851634730128902,0.6830119680851064,0.6562588972193221,0.8333333333333334,0.0,0.574475867480471,0
8,aorta,0.9858888166317603,0.7303432448613054,0.1680138778380017,0.3587101063829787,0.3692701907563822,1.0,0.4444444444444444,0.4354017131553334,2
9,excel,0.9841105562642621,0.4880762322889645,0.9879247066202865,0.9705784574468085,0.9847205086836863,0.3333333333333333,0.4444444444444444,0.2126054950109749,1
10,lunar,0.9823290656309231,0.4865296348034325,0.2254602257768399,0.489029255319149,0.3842649710543798,0.3333333333333333,0.0,0.46251110906126,0
11,third,0.9805443329746265,0.3090700458990222,0.1113761806532563,0.3096742021276596,0.2913542754104584,0.0,0.0,0.4849322813725322,0
12,slate,0.978756346473947,0.8357613250848137,0.3618337975688827,0.4709109042553192,0.5718895321248929,0.5,0.0,0.357255430529626,0
13,taper,0.9769650942426842,0.6432847734983036,0.4460051894144981,0.6828457446808511,0.6361393185916298,1.0,0.0,0.465882279541964,2
14,chord,0.975170564329391,0.2797345839153861,0.1853458418787376,0.3563829787234044,0.3963177374964412,0.3333333333333333,0.0,0.583274763859321,0
15,probe,0.9733727447168902,0.4827379764518062,0.509103637500581,0.7480053191489361,0.6473379519787413,1.0,0.0,0.4246880950260905,2
16,rival,0.9715716233217958,0.4360906006785073,0.4444573913212979,0.7910571808510638,0.5169403055898261,0.3333333333333333,0.0,0.3803399259708104,2
17,usual,0.969767187994024,0.5895529834364399,0.4792457128852167,0.6012300531914895,0.6639460947138655,0.1666666666666667,0.4444444444444444,0.04855040407022832,2
18,spoke,0.967959426516301,0.6016763121133507,0.7440788162269738,0.7684507978723405,0.8700768719749452,0.6666666666666666,0.0,0.3482168405042826,0
19,apply,0.9661483266036659,0.3115146677309917,0.3596821466548127,0.570811170212766,0.4449084179557749,0.0,0.4444444444444444,0.4381073019293097,2
20,naive,0.9643338759029749,0.5401616443823589,0.7110696479964908,0.903091755319149,0.7944386447755528,1.0,0.0,0.4036798613915746,2
21,knock,0.9625160619923877,0.15964877270006,0.1845965632808541,0.3986037234042553,0.3556040618771946,0.3333333333333333,0.4444444444444444,0.2373519213970773,2
22,braid,0.9606948723808633,0.4368389543005387,0.3423752748616091,0.6359707446808509,0.5155167504982441,0.8333333333333334,0.0,0.6249695082480253,0
23,infer,0.9588702945076442,0.4698164039113951,0.496864605100356,0.8331117021276595,0.5807155736927022,0.5,0.0,0.1501772446206423,1
24,joust,0.9570423157417336,0.3976751147475554,0.681883006185344,0.9702460106382979,0.727531555471197,1.0,0.0,0.735128103325265,2
25,amber,0.9552109233813744,0.5579225703452404,0.6375936000738982,0.7480053191489361,0.7985195027047549,0.8333333333333334,0.0,0.2176585940533453,2
26,woken,0.9533761046535175,0.3676411893833568,0.646730753914021,0.8457446808510638,0.7519217993736353,1.0,0.0,0.6369921363394608,3
27,adore,0.9515378467132862,0.721961684294552,0.3320395285463424,0.6107047872340425,0.5131441586789407,0.3333333333333333,0.0,0.1183552980147981,0
